Nurse,Patient,Day,Start Time,Duration
0,2,0,285.23687408158287,10
0,2,3,395.1750710284291,10
0,3,0,724.5398320783411,10
0,3,4,850.0,10
0,8,0,350.46120422671635,10
0,8,4,392.99019513592793,10
0,10,1,376.0,10
0,11,0,217.09784661031543,10
0,11,2,311.57297557619165,10
0,11,4,302.3377192934295,10
0,12,0,760.034929646305,10
0,12,4,814.5049024320379,10
0,20,0,0.0,10
0,20,2,285.7615872753498,10
0,20,4,870.0,10
0,28,1,0.0,10
0,28,4,327.99019513592793,10
0,29,0,254.023670645988,10
0,29,2,187.0,10
0,29,4,367.99019513592793,10
0,30,0,674.5398320783411,10
0,30,3,430.1750710284291,10
0,31,2,0.0,10
0,33,2,43.10589071449226,10
0,34,0,630.0,10
0,34,4,630.0,10
1,1,1,0.0,10
1,1,4,182.22000510818998,10
1,2,1,385.4314575050762,10
1,2,4,90.61552812807872,10
1,5,0,373.1671281151871,10
1,5,2,373.16712811518164,10
1,5,4,375.6236990378391,10
1,6,1,430.78679656440363,10
1,6,4,135.97086718740616,10
1,7,0,343.3176948739099,10
1,11,0,217.09784661031543,10
1,11,2,311.57297557619165,10
1,11,4,302.3377192934295,10
1,13,0,123.19596107465804,10
1,13,2,258.56134924097853,10
1,13,4,407.98437881283587,10
1,15,0,102.01562118715913,10
1,15,4,217.39936173221827,10
1,17,0,267.5305945032046,10
1,17,2,351.9867882276827,10
1,17,4,342.75153194492054,10
1,18,0,313.1671281151871,10
1,23,1,44.9857113690706,10
1,23,4,0.0,10
1,26,0,60.0,10
1,26,4,60.0,10
1,27,0,236.31739106760824,10
1,28,0,435.1671322196473,10
1,28,3,48.86606874731842,10
1,32,0,189.83517010868331,10
1,32,3,24.0,10
2,1,0,95.0,10
2,1,3,415.94448724536005,10
2,7,1,323.0,10
2,8,0,350.46120422671635,10
2,8,4,392.99019513592793,10
2,10,4,232.0,10
2,14,0,118.0,10
2,19,0,0.0,10
2,19,2,0.0,10
2,19,4,267.0,10
2,21,0,411.4513993626443,10
2,21,2,411.45139936264354,10
2,21,4,332.0,10
2,22,0,153.0,10
2,22,3,376.0,10
2,26,1,60.0,10
2,26,4,60.0,10
2,27,1,281.4246931923062,10
2,31,4,424.9219073353893,10
3,0,0,0.0,10
3,0,4,427.8426297525996,10
3,4,0,353.1671281151871,10
3,4,3,428.76894374382346,10
3,5,0,373.1671281151871,10
3,5,2,373.16712811518164,10
3,5,4,375.6236990378391,10
3,18,0,313.1671281151871,10
3,21,0,411.4513993626443,10
3,21,2,411.45139936264354,10
3,21,4,332.0,10
3,25,1,0.0,10
